GAME_ID,GAME_DATE,TEAM_ID,PTS
22400138,2024-11-01,1610612740,125
22400139,2024-11-01,1610612743,116
22400133,2024-11-01,1610612739,120
22400136,2024-11-01,1610612741,112
22400134,2024-11-01,1610612752,128
22400136,2024-11-01,1610612751,120
22400131,2024-10-31,1610612746,119
22400128,2024-10-31,1610612763,122
22400129,2024-10-31,1610612745,108
22400130,2024-10-31,1610612762,88
22400128,2024-10-31,1610612749,99
22400129,2024-10-31,1610612742,102
22400130,2024-10-31,1610612759,106
22400131,2024-10-31,1610612756,125
22400126,2024-10-30,1610612740,89
22400118,2024-10-30,1610612739,134
22400121,2024-10-30,1610612764,133
22400120,2024-10-30,1610612755,95
22400122,2024-10-30,1610612752,116
22400127,2024-10-30,1610612757,106
22400123,2024-10-30,1610612753,99
22400119,2024-10-30,1610612754,135
22400117,2024-10-30,1610612761,133
22400121,2024-10-30,1610612737,120
22400122,2024-10-30,1610612748,107
22400124,2024-10-30,1610612763,106
22400119,2024-10-30,1610612738,132
22400124,2024-10-30,1610612751,119
22400127,2024-10-30,1610612746,105
22400118,2024-10-30,1610612747,110
22400120,2024-10-30,1610612765,105
22400125,2024-10-30,1610612760,105
22400126,2024-10-30,1610612744,104
22400123,2024-10-30,1610612741,102
22400125,2024-10-30,1610612759,93
22400117,2024-10-30,1610612766,138
22400116,2024-10-29,1610612740,106
22400113,2024-10-29,1610612751,139
22400115,2024-10-29,1610612758,113
22400115,2024-10-29,1610612762,96
22400114,2024-10-29,1610612742,120
22400113,2024-10-29,1610612743,144
22400116,2024-10-29,1610612744,124
22400114,2024-10-29,1610612750,114
22400103,2024-10-28,1610612737,119
22400112,2024-10-28,1610612757,98
22400106,2024-10-28,1610612739,110
22400108,2024-10-28,1610612741,126
22400111,2024-10-28,1610612756,109
22400104,2024-10-28,1610612738,119
22400108,2024-10-28,1610612763,123
22400111,2024-10-28,1610612747,105
22400102,2024-10-28,1610612753,119
22400105,2024-10-28,1610612748,106
22400107,2024-10-28,1610612743,127
22400112,2024-10-28,1610612758,111
22400109,2024-10-28,1610612745,106
22400110,2024-10-28,1610612742,110
22400107,2024-10-28,1610612761,125
22400102,2024-10-28,1610612754,115
22400103,2024-10-28,1610612764,121
22400109,2024-10-28,1610612759,101
22400106,2024-10-28,1610612752,104
22400105,2024-10-28,1610612765,98
22400104,2024-10-28,1610612749,108
22400110,2024-10-28,1610612762,102
22400097,2024-10-27,1610612755,118
22400100,2024-10-27,1610612760,128
22400098,2024-10-27,1610612749,102
22400099,2024-10-27,1610612740,103
22400098,2024-10-27,1610612751,115
22400101,2024-10-27,1610612746,112
22400097,2024-10-27,1610612754,114
22400101,2024-10-27,1610612744,104
22400100,2024-10-27,1610612737,104
22400099,2024-10-27,1610612757,125
22400093,2024-10-26,1610612750,112
22400087,2024-10-26,1610612743,104
22400088,2024-10-26,1610612766,106
22400092,2024-10-26,1610612753,111
22400096,2024-10-26,1610612747,131
22400093,2024-10-26,1610612761,101
22400091,2024-10-26,1610612760,114
22400094,2024-10-26,1610612745,106
22400090,2024-10-26,1610612764,116
22400089,2024-10-26,1610612765,118
22400091,2024-10-26,1610612741,95
22400092,2024-10-26,1610612763,124
22400089,2024-10-26,1610612738,124
22400095,2024-10-26,1610612756,114
22400094,2024-10-26,1610612759,109
22400095,2024-10-26,1610612742,102
22400090,2024-10-26,1610612739,135
22400088,2024-10-26,1610612748,114
22400087,2024-10-26,1610612746,109
22400096,2024-10-26,1610612758,127
22400080,2024-10-25,1610612739,113
22400077,2024-10-25,1610612753,116
22400079,2024-10-25,1610612766,120
22400080,2024-10-25,1610612765,101
22400082,2024-10-25,1610612763,108
22400082,2024-10-25,1610612745,128
22400081,2024-10-25,1610612752,123
22400084,2024-10-25,1610612744,127
22400086,2024-10-25,1610612757,103
22400079,2024-10-25,1610612737,125
22400084,2024-10-25,1610612762,86
22400086,2024-10-25,1610612740,105
22400081,2024-10-25,1610612754,98
22400085,2024-10-25,1610612756,116
22400078,2024-10-25,1610612761,115
22400085,2024-10-25,1610612747,123
22400077,2024-10-25,1610612751,101
22400083,2024-10-25,1610612749,122
22400083,2024-10-25,1610612741,133
22400078,2024-10-25,1610612755,107
22400076,2024-10-24,1610612750,117
22400075,2024-10-24,1610612760,102
22400074,2024-10-24,1610612759,109
22400073,2024-10-24,1610612764,102
22400073,2024-10-24,1610612738,122
22400076,2024-10-24,1610612758,115
22400074,2024-10-24,1610612742,120
22400075,2024-10-24,1610612743,87
22400067,2024-10-23,1610612739,136
22400063,2024-10-23,1610612754,115
22400068,2024-10-23,1610612766,110
22400069,2024-10-23,1610612740,123
22400063,2024-10-23,1610612765,109
22400067,2024-10-23,1610612761,106
22400070,2024-10-23,1610612762,124
22400065,2024-10-23,1610612748,97
22400066,2024-10-23,1610612749,124
22400064,2024-10-23,1610612751,116
22400072,2024-10-23,1610612757,104
22400066,2024-10-23,1610612755,109
22400071,2024-10-23,1610612756,116
22400069,2024-10-23,1610612741,111
22400071,2024-10-23,1610612746,113
22400064,2024-10-23,1610612737,120
22400070,2024-10-23,1610612763,126
22400072,2024-10-23,1610612744,140
22400065,2024-10-23,1610612753,116
22400068,2024-10-23,1610612745,105
22400061,2024-10-22,1610612752,109
22400061,2024-10-22,1610612738,132
22400062,2024-10-22,1610612750,103
22400062,2024-10-22,1610612747,110
1022400237,2024-09-19,1611661322,92
1022400239,2024-09-19,1611661321,84
1022400236,2024-09-19,1611661313,67
1022400240,2024-09-19,1611661328,89
1022400237,2024-09-19,1611661325,91
1022400236,2024-09-19,1611661330,78
1022400235,2024-09-19,1611661323,87
1022400235,2024-09-19,1611661329,54
1022400238,2024-09-19,1611661324,51
1022400240,2024-09-19,1611661317,70
1022400238,2024-09-19,1611661320,68
1022400239,2024-09-19,1611661319,98
1022400230,2024-09-17,1611661323,76
1022400231,2024-09-17,1611661313,87
1022400234,2024-09-17,1611661328,72
1022400234,2024-09-17,1611661319,85
1022400231,2024-09-17,1611661322,71
1022400230,2024-09-17,1611661324,78
1022400233,2024-09-17,1611661317,85
1022400232,2024-09-17,1611661330,86
1022400233,2024-09-17,1611661320,81
1022400232,2024-09-17,1611661329,70
1022400229,2024-09-15,1611661328,90
1022400226,2024-09-15,1611661322,73
1022400224,2024-09-15,1611661321,109
1022400225,2024-09-15,1611661313,79
1022400228,2024-09-15,1611661323,71
1022400225,2024-09-15,1611661324,88
1022400228,2024-09-15,1611661319,84
1022400227,2024-09-15,1611661329,88
1022400229,2024-09-15,1611661320,87
1022400224,2024-09-15,1611661325,110
1022400226,2024-09-15,1611661330,76
1022400227,2024-09-15,1611661317,93
1022400220,2024-09-13,1611661319,78
1022400222,2024-09-13,1611661329,66
1022400223,2024-09-13,1611661323,88
1022400220,2024-09-13,1611661325,74
1022400219,2024-09-13,1611661330,69
1022400221,2024-09-13,1611661321,81
1022400219,2024-09-13,1611661322,72
1022400222,2024-09-13,1611661324,83
1022400223,2024-09-13,1611661317,69
1022400221,2024-09-13,1611661328,83
1022400218,2024-09-12,1611661313,99
1022400218,2024-09-12,1611661321,67
